"pev_beta","pev_alpha","pev_Vmax","param_draw"
86.1355,0.811722,0.867382,1
84.8921,0.745038,0.834664,2
107.329,0.668605,0.976924,3
84.2585,0.842169,0.92051,4
91.2167,0.824221,0.869589,5
107.007,0.801751,0.954843,6
79.5013,0.768081,0.87217,7
101.133,0.790133,0.905251,8
73.9814,0.705891,0.953733,9
97.2054,0.653836,0.965372,10
102.6,0.795874,0.935156,11
70.9131,0.86805,0.842998,12
109.081,0.709428,0.954958,13
95.7848,0.738181,0.880502,14
107.63,0.623183,0.990164,15
79.5074,0.701329,0.893358,16
71.0485,0.825992,0.852395,17
97.34,0.728697,0.956019,18
106.174,0.693325,0.943268,19
74.4034,0.73582,0.896412,20
82.7905,0.700083,0.865757,21
101.117,0.662696,0.971319,22
102.683,0.616734,0.982973,23
90.2305,0.642793,0.937947,24
70.7626,0.779388,0.855364,25
100.327,0.754148,0.909377,26
85.0471,0.671481,0.958054,27
89.6901,0.688116,0.945626,28
91.2822,0.726611,0.946266,29
86.9101,0.757952,0.909562,30
106.134,0.702919,0.948349,31
82.6848,0.793281,0.87733,32
89.6103,0.721102,0.867654,33
85.0246,0.805974,0.902413,34
69.4213,0.73828,0.842623,35
81.4228,0.851424,0.84604,36
91.3025,0.824413,0.912524,37
83.6705,0.87837,0.888704,38
83.2604,0.834198,0.898117,39
90.9553,0.666679,0.937749,40
92.2049,0.793631,0.892543,41
95.4491,0.700396,0.946423,42
91.6242,0.750935,0.857132,43
94.1861,0.774957,0.879037,44
92.0827,0.681007,0.928025,45
70.2967,0.716208,0.873839,46
101.798,0.785438,0.908509,47
80.9295,0.847597,0.8672,48
77.3614,0.924615,0.833284,49
94.7478,0.72014,0.934999,50
